VL-Stunde Kosmos-Vorträge an der Berliner Universität, vgl. z. B. deutschestextarchiv.de/parthey_msgermqu1711_1828	Thema	Signatur: SBB-PK, Nachl. A. v. Humboldt ,... [...	Materialart	Datum	Pers.name [GND]	Bemerkungen
44	Meteorologie: Atmosphäre; Variation des Barometers Maximum - Minimum	gr. Kasten 5, Nr. 31a (v.a. Bl. 19) [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN826363695&PHYSID=PHYS_0044]	MSS, Notiz	o.O., o.D.	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	Vgl.: Humboldt, Alexander von: Beobachtungen über die stündlichen Variationen des Barometers […]. Notizen aus dem Gebiete der Natur- und Heilkunde, Bd. 12, Nr. 247 von 1825 (1826), S. 65-71 [http://www.deutschestextarchiv.de/humboldt_beobachtungen_1826/3] .
45	Meteorologie: Atmosphäre; Variation des Barometers, Messungen in Königsberg	gr. Kasten 5, Nr. 30a, Blatt 15 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN826363679&PHYSID=PHYS_0001]	Druck	o.O., 1823	Bessel, Friedrich Wilhelm Humboldt, Alexander von <a href="http://d-nb.info/gnd/118510215">[GND]</a>	Auszug aus: Schumacher: Astronomische Nachrichten, No. 26 (1823), Sp. 23-28.
49	Meteorologie: mittlere Temperaturen, Maximal- und Minimaltemperaturen für Kairo und Ägypten, mittlere Temperaturen für Kairo	gr. Kasten 1, Mappe 8, Nr. 23c [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN789851911&PHYSID=PHYS_0001]	Brief	Paris, 23.07.1812	Jomard, Edme François <a href="http://d-nb.info/gnd/117175048">[GND]</a>	
49	Meteorologie: Methode der Berechnung der mittleren Temperatur eines Ortes	gr. Kasten 1, Mappe 1, Nr. 3 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN789850443&PHYSID=PHYS_0001]	MSS	o.O., 1811	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
49	Klimatologie, Meteorologie: Geographische Verteilung der Temperatur, Isotherme Linien	gr. Kasten 2, Mappe 2, Nr. 4 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN792893727&PHYSID=PHYS_0008]	Druck	o.O., 1826	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
50	Meteorologie: Mittlere Temperatur von Berlin, Maxima u. Minima	gr. Kasten 1, Mappe 2, Nr. 14 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN789850761&PHYSID=PHYS_0001]	MSS	o.O., o.D.	Mädler, Johann Heinrich <a href="http://d-nb.info/gnd/118761439">[GND]</a>	
50	Meteorologie: Mittlere Temperatur von Berlin, Maxima u. Minima	gr. Kasten 1, Mappe 2, Nr. 13 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN789852209&PHYSID=PHYS_0001]	MSS	o.O., o.D.	Mädler, Johann Heinrich <a href="http://d-nb.info/gnd/118761439">[GND]</a>	
50	Meteorologie: Tabellen und Notizen, nebst Zeitungsausschnitten und Publikationsfragmenten zur Meteorologie	 gr. Kasten 1, Mappe 8, Nr. 36a, Bl. 69-72 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN78985239X&PHYSID=PHYS_0001]	Druck, MSS	o.O., o.D.	Mädler, Johann Heinrich <a href="http://d-nb.info/gnd/118761439">[GND]</a>	
52	Ozeanographie, Meteorologie: Temperatur des Meeres, Meer wärmer als Luft	gr. Kasten 1, Mappe 7, Nr. 9a [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN789851377&PHYSID=PHYS_0003]	Brief	Paris, 28.02.1827	Freycinet, Louis Claude Desaulses de <a href="http://d-nb.info/gnd/116785101">[GND]</a>	
52	Ozeanographie, Meteorologie: Temperatur des Meeres, Meer wärmer als Luft	gr. Kasten 1, Mappe 7, Nr. 2 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN789851377&PHYSID=PHYS_0003]	Brief, Notizen	o.O., o.D.	Duperrey, Louis-Isidore <a href="http://d-nb.info/gnd/117663476">[GND]</a>	
54	Geographie des Organischen: Verteilung von Spezies über die Erde, speziell Eingeweidewürmer	gr. Kasten 6, Nr. 13 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN826365906]	Brief	B[erlin], 07.11.1827	Rudolphi, Karl Asmund <a href="http://d-nb.info/gnd/115526641">[GND]</a>	
57	Pflanzengeographie	gr. Kasten 6, Nr. 57 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN826366600]	Brief	o.O., 22.11.1827	Zeune, August <a href="http://d-nb.info/gnd/116984465">[GND]</a>	
57	Pflanzengeographie: Tabelle der pflanzengeographischen Verbreitung	gr. Kasten 12, Nr. 101; [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN829063730]	Werk; Tabelle	o.O., o.D.	N.N.	
57	Pflanzengeographie: Farne, Asplenium	gr. Kasten 12, Nr. 103; [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN829063765]	Brief, Liste	o.O., o.D.	Brown, Robert <a href="http://d-nb.info/gnd/118674455">[GND]</a>; Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
